geography,total,no_religion,christian,buddhist,hindu,jewish,muslim,sikh,other,no_response
North East,2647012,1058122,1343948,7026,10924,4389,72102,7206,9950,133345
North West,7417397,2419624,3895779,23028,49749,33285,563105,11862,28103,392862
Yorkshire and The Humber,5480774,2161185,2461519,15803,29243,9355,442533,24034,23618,313484
East Midlands,4880054,1950354,2214151,14521,120345,4313,210766,53950,24813,286841
West Midlands,5950756,1955003,2770559,18804,88116,4394,569963,172398,31805,339714
East,6335072,2544509,2955071,26814,86631,42012,234744,24284,36380,384627
London,8799728,2380404,3577681,77425,453034,145466,1318754,144543,86759,615662
South East,9278068,3733094,4313319,54433,154748,18682,309067,74348,54098,566279
South West,5701186,2513369,2635872,24579,27746,7387,80152,7465,36884,367732
Wales,3107494,1446398,1354773,10075,12242,2044,66947,4048,15926,195041